CountryCode;CountryName;AvgElectricity;Cluster
DZA;Algeria;95.4220003419;1
AGO;Angola;30.3054428419;0
EGY;Egypt, Arab Rep.;95.7875653419;1
BGD;Bangladesh;39.6925653419;2
LIE;Liechtenstein;97.5875653419;1
SOM;Somalia;25.0763453419;0
MIC;Middle income;79.0949680061;1
NAM;Namibia;36.0532053419;2
VEN;Venezuela, RB;96.8375653419;1
BGR;Bulgaria;97.5875653419;1
BOL;Bolivia;73.5125653419;1
GHA;Ghana;47.6282053419;2
PAK;Pakistan;78.6125653419;1
WLD;World;78.2438031184;1
CPV;Cabo Verde;61.1751403419;2
JOR;Jordan;95.8970003419;1
LBR;Liberia;1.22652681694;0
LBY;Libya;96.7775203419;1
MYS;Malaysia;94.8220003419;1
LIC;Low income;17.2994189704;0
PRI;Puerto Rico;83.9114778419;1
PRK;Korea, Dem. Rep.;21.9960828419;0
TZA;Tanzania;9.01256534194;0
BWA;Botswana;40.7404403419;2
KHM;Cambodia;22.0970003419;0
SAS;South Asia;63.3843150754;2
PRY;Paraguay;91.2000403419;1
HKG;Hong Kong SAR, China;97.5875653419;1
SAU;Saudi Arabia;90.0687553419;1
LBN;Lebanon;94.5220003419;1
SVN;Slovenia;97.5875653419;1
BFA;Burkina Faso;7.38756534194;0
SVK;Slovak Republic;97.5875653419;1
KEN;Kenya;15.4375653419;0
MRT;Mauritania;14.1960828419;0
CHI;Channel Islands;97.5875653419;1
HRV;Croatia;97.5875653419;1
CHL;Chile;95.6875653419;1
CHN;China;95.5720003419;1
FSM;Micronesia, Fed. Sts.;51.7170678419;2
JAM;Jamaica;86.4959253419;1
ITA;Italy;97.5875653419;1
DJI;Djibouti;45.6960853419;2
GIN;Guinea;16.7095003419;0
FIN;Finland;97.5875653419;1
URY;Uruguay;95.4625653419;1
THA;Thailand;88.1375653419;1
SYC;Seychelles;96.5775203419;1
NPL;Nepal;71.4054428419;2
MAR;Morocco;77.3875653419;1
YEM;Yemen, Rep.;40.8291978419;2
PHL;Philippines;74.4625653419;1
ZAF;South Africa;72.3875653419;1
KIR;Kiribati;51.7170678419;2
LAC;Latin America & Caribbean (developing only);90.3344905452;1
VIR;Virgin Islands (U.S.);83.9114778419;1
SYR;Syrian Arab Republic;87.7376378419;1
MAC;Macao SAR, China;83.3090728419;1
NIC;Nicaragua;71.0625653419;2
KAZ;Kazakhstan;95.3775203419;1
MNG;Mongolia;82.1960828419;1
ZAR;Congo, Dem. Rep.;8.74700034194;0
PYF;French Polynesia;51.7170678419;2
IRL;Ireland;97.5875653419;1
DMA;Dominica;86.5292528419;1
KSV;Kosovo;97.5875653419;1
BEN;Benin;26.0220003419;0
NGA;Nigeria;45.1720003419;2
BEL;Belgium;97.5875653419;1
DEU;Germany;97.5875653419;1
GUM;Guam;51.7170678419;2
LKA;Sri Lanka;80.7751378419;1
EMU;Euro area;97.5853265674;1
NAC;North America;97.5875653419;1
GUY;Guyana;73.3292578419;1
CRI;Costa Rica;94.2940103419;1
CMR;Cameroon;42.0625653419;2
LDC;Least developed countries: UN classification;24.8950928447;0
