1	Semua Siswa IPA Reguler SMAN 3 Semarang Tak Lulus SNMPTN	"SEMARANG, KOMPAS.com â€” Ratusan orangtua siswa SMA Negeri 3 Semarang mempertanyakan ketidaklulusan putra-putri mereka dalam Seleksi Nasional Masuk Perguruan Tinggi Negeri (SNMPTN) 2016. Semua siswa jurusan IPA reguler yang berjumlah 380 orang tidak ada yang lolos SNMPTN. Dalam pertemuan dengan Kepala SMAN 3 Semarang Bambang Nianto Mulyo di Krakatau Ballroom Hotel Horison, Semarang, Selasa (10/5/2016), para orangtua siswa itu mendesak agar pihak sekolah melakukan klarifikasi. Mayoritas orangtua menganggap ada kesalahan dalam proses memasukkan data di Pangkalan Data Siswa dan Sekolah sehingga para siswa tidak ada yang lolos SNMPTN. Hal itu diduga terjadi karena persebaran ketidaklulusan siswa bersifat seragam, yakni hanya untuk jurusan IPA reguler. Bambang mengatakan, banyak siswa SMAN 3 Semarang dari jurusan lain yang lolos SNMPTN. ""Ada 14 siswa akselerasi IPA dan 22 siswa IPS yang lolos SNMPTN,"" ujarnya seperti dikutip Tribun Jateng. Bambang tidak bisa menjelaskan secara terperinci faktor yang melatarbelakangi ketidaklulusan 380 siswa IPA di sekolahnya dalam SNMPTN. Ia menyatakan bahwa semua kewenangan berada di panitia pusat SNMPTN. Ia belum mendapat informasi terperinci soal hal itu. Jawaban itu tidak memuaskan para orangtua siswa sehingga mereka naik pitam. Sapto Widodo, salah satu wali murid, mendesak Bambang untuk mengirimkan surat dan mendatangi langsung ketua panitia SNMPTN. ""Jangan hanya menunggu informasi melalui telepon, kirim surat resmi. Kalau perlu, ajak kami orangtua untuk datang langsung, kita minta kejelasan bersama,"" kata Sapto. Sapto sangat penasaran dengan penyebab ketidaklulusan anaknya. Putranya yang mendaftar di program studi Teknik Sipil Universitas Gadjah Mada memang masih punya kesempatan lagi untuk mendaftar melalui jalur lain, yakni SBMPTN. Namun, ia meminta adanya jawaban yang memuaskan. ""Kalau mendaftar lagi, pasti kami lakukan, tetapi bukan itu masalahnya. Sebab, ini harus ada jawaban,"" kata dia. Salah satu orangtua murid SMAN 3 Semarang, yang putranya tidak lolos SNMPTN, adalah Rektor Universitas Muhammadiyah Semarang (Unimus) Masrukhi. Ia merasa heran karena tidak satu pun siswa dari kelas jurusan IPA lolos SNMPTN. ""Padahal dari segi prestasi, tidak bisa dipandang sebelah mata. Ada yang juara olimpiade tingkat nasional, hingga melakukan berbagai penelitian yang bagus. Namun, sebabnya apa, kami belum tahu. Hal ini biar diselidiki terlebih dahulu,"" katanya kepada Tribun Jateng. Kepada awak media, Bambang menyampaikan bahwa pihaknya menerima seluruh masukan dari orangtua. Ia juga akan segera menindaklanjuti masukan dan akan mencoba berkunjung ke ketua panitia SNMPTN. (Rival Al-manaf/Tribun Jateng)"
2	"Semua Siswa SMAN 3 Semarang Tak Lulus SNMPTN, Siapa Salah?"	"VIVA.co.id â€“  Sebanyak 380 pelajar lulusan SMAN 3 Semarang, Jawa Tengah, tak ada satu pun yang lolos dalam seleksi masuk perguruan tinggi negeri yang melaksanakan Seleksi Nasional Masuk Perguruan Tinggi Negeri (SNMPTN). Hal ini tentu menjadi pertanyaan banyak pihak karena SMAN 3 Semarang merupakan sekolah favorit di Jawa Tengah. Atas keresahan ratusan orangtua murid lulusan SMA 3 Semarang, Menteri Pendidikan dan Kebudayaan (Mendikbud), Anies Baswedan, memerintahkan agar pihak terkait melakukan audit secepatnya guna mengetahui permasalahan ini. ""Saya minta Dinas Pendidikan Jawa Tengah dan Semarang segera melakukan audit untuk mengetahui apa yang terjadi sebenarnya,"" kata Anies Baswedan di Yogyakarta, Kamis, 12 Mei 2016. Menurut Anies, kegagalan 380 lulusan SMA 3 Semarang masuk PTN harus ada yang bertanggung jawab. Diharapkan pihak terkait di Jawa Tengah tidak lagi saling lepas tangan atau menyalahkan. Karena itu, perlu dilakukan audit untuk mengidentifikasi permasalahan. ""Audit itu merupakan bagian dari upaya untuk mengetahui siapa yang bertanggung jawab,"" ujar Anies. Sebelum ada pernyataan pers dari SMA Negeri 3 Semarang, Kementerian Pendidikan dan Kebudayaan sudah melakukan audit awal. ""Dari 50 sekolah yang menggunakan SKS di Indonesia atau dari tujuh sekolah di Jawa Tengah, yang bermasalah hanya SMA Negeri 3 Semarang,"" katanya. Artinya, lanjut Anies, 49 sekolah lain bisa melakukan input dengan baik. Karena itu, menurut Anies, perlu diaudit untuk mengetahui kebenarannya. Terlebih lagi, input data itu menggunakan komputer. Melalui lacakan komputer, kata Anies, dapat diketahui secara rinci dari detik, menit dan jam, apa yang dilakukan dalam proses input data itu. ""Harus ada yang bertanggungjawab, "" ujar Anies. (ase)"
3	Penjelasan Disdik Jateng soal SKS dan 'Musibah' SMAN 3 Semarang Terkait SNMPTN	"Semarang - Setidaknya ada 9 sekolahan di Jawa Tengah yang menggunakan sistem kredit semester (SKS), meski demikian tidak ada yang sampai mengalami ""musibah"" ratusan murid tidak lolos SNMPTN seperti yang dialami SMAN 3 Semarang.  Kasi Kurikulum Dikmen Dinas Pendidikan Provinsi Jawa Tengah, Bambang Supriono mengatakan SKS sudah diterapkan di sejumlah sekolah sejak tahun 2011 dan hingga saat ini sudah ada 9 sekolahan yang memakainya yaitu SMAN 1 Kudus, SMAN 3 Semarang, SMAN 1 Pati, SMAN 1 Salatiga, SMAN 1 Kebumen, SMAN 1 Wonosobo, SMA Karangturi Semarang, SMAN Takasus Wonosobo, dan SMAN 3 Purwokerto. ""Sudah sejak tahun ajaran 2011. Masih tahap rintisan. Yang mengalami seperti itu hanya SMAN 3 Semarang,"" kata. Tahun-tahun sebelumnya, input Pangkalan Data Sekolah & Siswa (PDSS) online menggunakan sistem reguler. Namun tahun ini, lanjut Bambang, diberikan dua opsi kepada sekolahan, akan menggunakan sistem reguler atau sistem baru. ""Sistem baru, jadi misalkan ada kelas A sampai F, kemudian kelas A, B, C, dan D ada pelajaran Kimia semester ini, kemudian kelas E dan F tidak ada, kemungkinan semester berikutnya kelas E dan F yang ada Kimia. Nah, yang jadi masalah kalau pembagiannya (reguler dan baru) sama,"" terang Bambang. Sistem baru itu digunakan oleh SMAN 3 Semarang yang merasa sudah siap, sedangkan sekolah lainnya yang menerapkan SKS masih masukkan data dengan sistem lama. ""Yang lain-lain misalnya di Wonosobo kami cek masih menggunakan sistem lama karena merasa belum siap dengan yang baru. Sepertinya yang menggunakan sistem baru hanya SMAN 3 Semarang,"" ujarnya. Menurut Bambang, sebenarnya sistem SKS yang diterapkan tidak ada masalah. Jika kesalahan ada pada personal sekolahnya, lanjut Bambang, buktinya siswa IPS di SMAN 3 Semarang bisa lolos SNMPTN. Jika yang salah sistemnya, ternyata sekolah lain tidak ada masalah. ""Saya juga bingung, kalau sistemnya ternyata di sekoah lain tidak ada masalah, kalau personal, ternyata yang IPS masuk (SNMPTN),"" tandasnya. Oleh sebab itu memang perlu dicari secara seksama apa penyebabnya hingga 380 siswa IPA reguler SMAN 3 Semarang tidak lolos SNMPTN. Bambang menambahkan pihaknya juga turut mencari informasi membantu pihak seolah yang saat ini berusaha menemui ketua Panitia SNMPTN. ""Kita hati-hati cari informasi termasuk kronologi sejelasnya agar informasi ini sama,"" kata Bambang. Sementara itu menurut panitia SNMPTN, ada nilai yang tak terisi dalam database online sekolah favorit yang menerapkan sistem SKS itu. (alg/try)"
4	"Jadi Presiden Filipina, Duterte: Tahanan Komunis Dibebaskan"	"TEMPO.CO, Manila - Presiden Filipina terpilih, Rodrigo Duterte, akan membebaskan seluruh tahanan komunis sebagai upaya mengawali perundingan damai guna mengakhiri pemberontakan yang berlangsung bertahun-tahun. ""Pemberontakan itu telah menewaskan puluhan ribu orang,"" kata seorang pembantu Duterte, Selasa, 10 Mei 2016. Menurut dia, Duterte akan diambil sumpahnya sebagai Presiden Filipina pada 30 Juni 2016 setelah meraih kemenangan dalam pemilihan umum pada Senin, 9 Mei 2016. Dia menjelaskan, Duterte juga telah menunjukkan kesiapannya membebaskan seluruh pemberontak. ""Hal itu sebagai faktor kunci untuk memecah kebuntuan perundingan yang macet sejak tiga tahun lalu,'"" jelasnya. Pemimpin Filipina sebelumnya, Benigno Aquino, mengakhiri perundingan dengan Partai Komunis Filipina pada 2013 setelah para pemberontak itu menuntut pembebasan seluruh tahanan tanpa syarat. Juru bicara Duterte, Peter Lavina, mengatakan presiden terpilih akan mengizinkan para pemimpin komunis di pengasingan kembali ke Filipina untuk melakukan perundingan dan meninjau kembali statusnya sebagai tahanan politik. Lavina mengusulkan agar pemerintahan baru tidak menolak permintaan pembebasan seluruh tahanan agar mereka bisa ikut serta dalam babak perundingan. Selain itu, pemerintah juga diminta mengizinkan tahanan berobat di luar penjara. ""Ini sangat penting membebaskan tahanan politik untuk berobat di luar penjara,"" katanya. Duterte dikenal sebagai seorang wali kota berhaluan keras dalam menghadapi kaum begundal. Dia pernah memerintahkan pasukan keamanan membunuh lebih dari seratus orang yang diduga pelaku kejahatan di Davao. Pria 71 tahun itu kawan karib Jose Maria Sison, pendiri Partai Komunis Filipina pada 1968, yang kini tinggal di pengasingan Belanda."
5	"Menangi Pilpres Filipina, Rodrigo Duterte Dikhawatirkan Menjadi Diktator"	"Manila, - Sosok kontroversial Rodrigo Duterte berhasil memenangi pemilihan presiden (pilpres) Filipina untuk menggantikan Presiden Benigno Aquino. Meski sejak awal dijagokan publik, namun kemenangan Duterte mengagetkan para elite politik negeri itu. Sosok garis keras Duterte dianggap mengkhawatirkan oleh pemerintahan Aquino. Kata-kata kasar dan sumpah Duterte untuk membunuh setiap pelaku kriminal, menuai kekhawatiran akan kepemimpinan bergaya otoriter. Bahkan saat kampanye pekan lalu, Aquino menyerukan para kandidat presiden lain untuk bersatu melawan Duterte. Aquino mengingatkan, Duterte akan menjadi diktator. Menurut Aquino, yang ibunya memimpin revolusi ""People Power"" tahun 1986 yang menggulingkan diktator Ferdinand Marcos, Filipina berada dalam bahaya terulangnya sejarah jika Duterte terpilih menjadi presiden. ""Kita akan kembali ke darurat militer ala Marcos di mana dia (Duterte) akan memonopoli pengambilan keputusan,"" cetus Aquino seperti dilansir Reuters, Selasa (10/5/2016). Sesuai konstitusi, Aquino tak bisa lagi mencalonkan diri setelah menjadi presiden selama satu periode yang berlangsung enam tahun. Namun Wali Kota Davao itu berhasil memenangi pemilu 2016 ini. Menurut para analis, Duterte berhasil masuk ke dalam sentimen banyak warga Filipina yang frustrasi akan lambatnya reformasi di bawah pemerintahan Aquino. Para pemilih menyukai imej tegas Duterte dan janji-janjinya untuk memberantas masalah-masalah yang telah berakar, seperti kriminalitas dan korupsi. Sebelumnya saat kampanye, Duterte telah menegaskan akan bertindak keras terhadap para pelaku kejahatan. Dikatakannya, akan ada pembunuhan massal para penjahat atas perintahnya. Duterte bahkan mengatakan dirinya tak akan peduli soal HAM jika menyangkut para penjahat. ""Lupakan hukum HAM,"" cetus pria berumur 71 tahun itu seperti dilansir kantor berita AFP, Selasa (10/5/2016). Di Kota Davao yang dipimpinnya, Duterte disebut-sebut telah mengerahkan skuad penembak mati yang dilaporkan telah menewaskan lebih dari 1.000 tersangka penjahat. Davao sendiri dikenal sebagai kota yang marak narkoba dan kekerasan. Menurut pendukung Duterte, kejahatan di kota itu menurun drastis sejak Duterte memimpin. ""Jika saya berhasil melaju ke istana presiden, saya akan melakukan persis seperti yang telah saya lakukan sebagai Wali Kota,"" tandas Duterte."
6	"Hasil Le Mans Bikin Persaingan Rossi, Marquez, dan Lorenzo Kian Ketat"	"Le Mans - Valentino Rossi menyebut hasil di Le Mans sudah membuat persaingan antara dirinya dengan Jorge Lorenzo dan Marc Marquez jadi sangat terbuka. Rossi memulai MotoGP Prancis pada akhir pekan dari posisi start tujuh. Walaupun tidak ideal, rider Movistar Yamaha itu sukses finis kedua di belakang Lorenzo yang merupakan rekan setimnya--sekaligus membuat tim mereka finis 1-2 lagi setelah Jerez lalu. ""Saya amat gembira karena ketika Anda memulai dari posisi tujuh dan kemudian meraih 20 poin maka itu sangatlah bagus, juga karena itu merupakan poin yang amat penting,"" kata Rossi di MotoGP.com. Dengan posisi finis tersebut, Rossi berhak atas 20 angka tambahan. Rossi sekarang duduk di posisi tiga klasemen dengan koleksi 78 poin. Di posisi kedua ada Marquez (85 poin), yang finis pada posisi 13 di Le Mans sehingga menyudahi rentetan podiumnya di awal musim ini, dan Lorenzo (90) sebagai pemuncak klasemen sementara. ""Saat ini saya hanya berada di posisi tiga, sehingga saya harus fokus kepada balapan satu per satu, dan terutama memikirkan Mugello dan berusaha kompetitif di sana,"" tuturnya. Mugello yang disebut Rossi merupakan seri berikutnya dan akan dilangsungkan pada 22 Mei mendatang. Rossi belum pernah lagi memenangi MotoGP Italia tersebut sejak 2008--sekaligus menyudahi tujuh kemenangan berturut-turut untuknya di sana."
7	Marquez Keluhkan Buruknya Akselerasi Honda	"Le Mans - Marc Marquez terjatuh di separuh balapan MotoGP Prancis. Kejadian itu disebutnya sebagai akibat dari akselerasi RC213V yang tertinggal dari para pesaing. Dapat posisi start kedua, Marquez langsung mundur ke urutan enam tak lama setelah balapan dimulai. Dia kemudian bisa naik kembali ke urutan empat dan bahkan naik ke posisi tiga setelah Andrea Iannone crash. Bersama dengan Andrea Dovizioso dan Valetino Rossi, Marquez lantas terlibat dalam persaingan sengit memperebutkan posisi dua. Namun rivalitas itu tak bertahan lama. Setelah diasapi The Doctor, Marquez malah terjatuh. Dia kehilangan kendali pada bagian depan motornya dan terseret masuk ke gravel. Kejadian itu disebut Marquez sebagai akibat dari buruknya akselerasi motor Honda. Marquez mengaku sangat kesulitan untuk bersaing dengan Dovizioso dan Rossi karena Ducati dan Yamaha punya akselerasi yang lebih baik. ""Sejujurnya, saya sebenarnya mengalami balapan yang bagus karena kami punya sangat banyak masalah di akhir pekan ini, tapi saya berada dekat dengan podium. Itulah target utama hari ini,"" ucap Marquez. Untuk mengakali kekalahan akselerasi dari pesaing, Marquez mencoba menebusnya dengan melakukan late breaking. Pada momen itulah dia kemudian mengalami kecelakaan. ""Tapi tiba-tiba di Tikungan 5, saya masuk dan kehilangan (kendali) ban depan. Jelas mengecewakan, tapi hal seperti ini terjadi jika Anda kehilangan akselerasi. Anda harus menebusnya di titik pengereman, dan menjalani kondisi itu selama 28 lap membuat Anda mudah melakukan kesalahan. Karena di titik pengereman tidak ada kendali, hanya pada jari (yang menekan rem) dan feeling motor,"" terang Marquez usai balapan. Akelerasi motor menjadi masalah besar Honda di musim ini. Marquez malah menyebut Honda punya akselerasi paling buruk dibanding pabrikan-pabrikan yang ada di MotoGP saat ini. Namun dia yakin kalau masalah akselerasi bisa dipecahkan maka Honda akan memiliki motor terbaik. ""Buat saya, jika kami membuat ranking akselerasi maka kondisinya akan seperti ini: Ducati, Yamaha, Suzuki, Honda. Kami kalah jauh dari Ducati, lebih sedikit dibanding Yamaha less, lebih sedikit lagi dibanding Suzuki, baru kemudian kami,"" keluh Marquez. ""Masalahnya adalah kami kalah jauh. Tapi kami terus mengembangkan akselerasi dan kami memiliki salah satu motor terbaik. Itu kondisi yang sulit karena di lintasan lurus kami memberikannya dengan 'cuma-cuma' (pada lawan). Itu menyulitkan secara mental saat Anda melihat di lintasan lurus Anda tidak bisa mengikuti mereka. Tapi saya tahu Honda bekerja keras. Saya percaya pada Honda. Jadi tidak ada gunanya kini jika hanya mengeluh,"" tegasnya di Crash. (din/cas)"
8	Nadal Lewati Babak Kedua	"Roma - Rafael Nadal melewati rintangan pertama dalam usahanya meraih titel Roma Masters kedelapan. Nadal mengalahkan Phil Kohlschreiber dengan kemenangan straight set. Memainkan laga babak II di Foro Italico, yang berakhir Kamis (12/5) dinihari WIB, Nadal hanya kehilangan enam gim untuk menyingkirkan petenis Jerman itu dengan skor 6-3, 6-3. Bertanding selama 1 jam 23 menit, Nadal memenangi 72 persen poin di servis pertama, 21 winner dan 14 unforced error. Kohlschreiber banyak membuat kesalahan sendiri dengan 22 unforced error dan 18 winner. Nadal memegang rekor titel juara terbanyak di turnamen ini dengan tujuh kali juara pada 2005-207, 2009-2010, 2012-2013. Akan tetapi dalam dua tahun terakhir, makhota juara Roma direbut Novak Djokovic. Selanjutnya, petenis kidal Spanyol itu akan menghadapi lawan tricky yaitu Nick Kygrios [Australia], yang mengalahkan Milos Raonic 7-6 (5), 6-3. Kedua petenis baru sekali berjumpa di babak 16 besar Wimbledon 2014 di mana Kyrgios menang dalam empat set. Di partai lain, unggulan kesembilan David Ferrer tidak mengalami kesulitan berarti untuk menghempaskan Guillermo Garcia-Lopez 6-4, 6-3. Selanjutnya Ferrer akan melawan petenis lucky loser, Lucas Pouille, yang sebelumnya mengalahkan Ernest Gulbis dalam pertarungan tiga set."
9	Senapan Sniper Buatan Pindad Tak Kalah dengan Produk Asing	"Jakarta -Produk senapan sniper SPR-2 yang diproduksi oleh BUMN Indonesia, yaitu PT Pindad (Persero), tak kalah dengan produk sniper sejenis yang diproduksi oleh produsen asing. Saat dipakai kesatuan TNI, senapan sniper yang desainnya muncul di film Rambo IV ini memiliki tingkat akurasi lebih tinggi daripada senapan sniper asing. ""Saat uji di beberapa tempat, SPR-2 akurasinya sangat baik dan lebih baik dari produk luar. Salah satu yang kita tahu, personil Kodam Iskandar Muda, dites sama prajurit ternyata SPR-2 akurasi lebih baik,"" kata Direktur Utama PT Pindad (Persero), Silmy Karim, kepada detikFinance, Rabu (11/5/2016). Lanjut Silmy, tak banyak perusahaan senjata di dunia yang mengembangkan dan memproduksi senapan sniper. Alasannya, pasar senapan sniper sangat terbatas. Namun, hal itu tak menjadi alasan bagi Pindad untuk berhenti mengembangkan dan memproduksi senapan untuk penembak jitu. ""Produsen senjata sniper dunia nggak banyak karena pasar sedikit, namun karena alasan kemandirian kita berusaha buat senjata yang bersaing walau kuantitas nggak banyak,"" tuturnya. Senapan yang dibuat di Bandung itu mampu menembak hingga jarak 2.000 meter atau 2 kilometer (km). Kuatnya daya jangkau senjata SPR-2 ini karena menggunakan peluru kaliber 12,7 mm x 99 atau disebut kaliber 50, dengan kapasitas per magasin 5 peluru. Senjata ini juga dilengkapi dengan peredam dan mampu menembus baja setebal 2 cm. Saat ini, senjata ini telah dipakai oleh TNI, seperti Kopassus TNI AD. SPR-2 pertama kali diserahkan kepada pemesannya di 2015. ""Ini masih baru, delivery (pengiriman) 2015 itu merupakan pesanan 2014,"" sebutnya."
10	"Pilot Mogok, Penerbangan Lion Air Terganggu"	"TEMPO.CO, Jakarta - Sejumlah penerbangan Lion Air tertunda terbang dari Bandara Soekarno-Hatta, Banten ke sejumlah lokasi pada Selasa, 10 Mei 2016. Penerbangan tertunda karena pilot Lion Air dikabarkan mogok kerja. Sekretaris Perusahaan PT Angkasa Pura I, Farid Nugraha, dalam keterangan tertulis, di Jakarta, Selasa, 10 Mei 2016, mengatakan mereka saat ini tengah berkomunikasi secara intensif dengan perwakilan Lion Air Group yang ada di bandara terbesar dan paling sibuk di Indonesia itu. Hal-hal pokok yang dibicarakan antara lain antisipasi pengamanan fasilitas dan pengguna jasa dengan pihak-pihak terkait. Dibahas pula soal pendampingan terhadap pemakai jasa penerbangan serta memastikan hak-hak penumpang dipenuhi Lion Air Group sesuai dengan ketentuan pemerintah akibat kejadian ini. ""Sehubungan dengan aksi mogok pilot Lion Air Group yang terjadi di beberapa bandara Angkasa Pura I, kami mengimbau penumpang dapat memahami dan bersabar terhadap kondisi ini,"" kata Farid. Farid merinci sejumlah keterlambatan terjadi di beberapa bandara di wilayah operasinya di antaranya Bandara Sam Ratulangi (Manado). Rinciannya, JT 741 MDC-UPG-DPS seharusnya berangkat 06.45 WITA, JT 731 MDC-BPN-SUB (06.00 WITA), dan IW 1160 MDC-NAH (07.00 WITA). Bandara Sultan Hasanuddin (Makassar), yakni JT 927 UPG-DPS (06.45 WITA), JT 891 UPG-CGK (08.25 WITA), JT 871 UPG-CGK (09.00 WITA), JT 672 UPG-BPN (09.10 WITA), JT 791 UPG-SUB (09.20 WITA), JT 998 UPG-KDI (08.40 WITA), dan JT 741 UPG-DPS (09.10 WITA). Bandara Internasional Lombok (Nusa Tenggara Barat) di antaranya JT 654 CGK-LOP-SUB (08.40 WITA), IW 1861/1864 SWQ-LOP-BMU (09.25 WITA), dan JT 962/JT 865 SUB-LOP-SUB (09.40 WITA). Bandara I Gusti Ngurah Rai (Bali) sebagai berikut, JT 929 RON-DPS-SUB (06.10 WITA), JT927 UPG-DPS-BTH (08.05 WITA), dan JT741/746 UPG-DPS-UPG (10.30 WITA). Bandara Adisutjipto (Yogyakarta) JT 273 LOP-JOG (06.20 WIB) dan JT 279 JOG-BTH (07.00 WIB). Manajer Humas PT Angkasa Pura II Haerul Anwar mengatakan kondisi Bandara Soekarno-Hatta masih aman, dan apabila terdapat potensi keterlambatan, masih sebatas normal. ""Berdasarkan info dari rekan-rekan di lapangan, di terminal pun tidak terjadi penumpukan pemakai jasa penerbangan,"" katanya. Saat dihubungi, Manajer Humas Lion Group Andy M. Saladin, membantah mogok karena diduga uang transpor yang belum dibayarkan. ""Tidak ada mogok, operasional pun sudah mulai lancar,"" katanya. Sementara itu, Direktur Umum Lion Air Edward Sirait mengatakan hal yang berbeda. Dia mengatakan keterlambatan penerbangan disebabkan oleh kru pesawat sedang sakit, dan beberapa mengalami permasalahan administrasi. ""Kami atas nama manajemen Lion Air mohon maaf atas ketidaknyamanan ini,"" katanya."
